ID,英語名,タイプ（日本語）,特性（日本語）,重さ,HP,攻撃,防御,特攻,特防,素早さ,覚える技一覧（日本語）,画像URL
11,metapod,むし,だっぴ,99,50,20,55,25,25,30,"いとをはく, かたくなる, てっぺき, むしくい, エレキネット",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png
12,butterfree,"むし, ひこう","ふくがん, いろめがね",320,60,45,50,90,80,70,"かまいたち, かぜおこし, ふきとばし, ずつき, たいあたり, とっしん, すてみタックル, ちょうおんぱ, サイケこうせん, はかいこうせん, メガドレイン, ソーラービーム, どくのこな, しびれごな, ねむりごな, いとをはく, どくどく, ねんりき, サイコキネシス, いかり, テレポート, ものまね, かげぶんしん, かたくなる, リフレクター, がまん, スピードスター, ゆめくい, フラッシュ, サイコウェーブ, ねむる, みがわり, どろぼう, あくむ, いびき, のろい, まもる, ギガドレイン, こらえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, しんぴのまもり, バトンタッチ, あまいかおり, めざめるパワー, たつまき, あまごい, にほんばれ, じこあんじ, シャドーボール, からげんき, スキルスワップ, ひみつのちから, エアカッター, ぎんいろのかぜ, シグナルビーム, つばめがえし, てっぺき, はねやすめ, しぜんのめぐみ, おいかぜ, とんぼがえり, エアスラッシュ, むしのさざめき, エナジーボール, ギガインパクト, きりばらい, ゆうわく, むしくい, あやしいかぜ, ベノムショック, いかりのこな, ちょうのまい, りんしょう, アクロバット, むしのていこう, エレキネット, ぼうふう, ドレインキッス, ないしょばなし, まとわりつく, かふんだんご, ダブルウイング",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png
13,weedle,"むし, どく","りんぷん, にげあし",32,40,35,30,20,20,50,"どくばり, いとをはく, むしくい, エレキネット",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png
14,kakuna,"むし, どく",だっぴ,100,45,25,50,25,25,35,"いとをはく, かたくなる, てっぺき, むしくい, エレキネット",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png
15,beedrill,"むし, どく","むしのしらせ, スナイパー",295,65,90,40,45,80,75,"つるぎのまい, いあいぎり, ずつき, みだれづき, とっしん, すてみタックル, どくばり, ダブルニードル, ミサイルばり, はかいこうせん, つつく, メガドレイン, ソーラービーム, いとをはく, どくどく, こうそくいどう, いかり, ものまね, かげぶんしん, かたくなる, リフレクター, きあいだめ, がまん, スピードスター, ロケットずつき, フラッシュ, ねむる, みがわり, どろぼう, いびき, のろい, まもる, ヘドロばくだん, げきりん, ギガドレイン, こらえる, みねうち, いばる, れんぞくぎり, メロメロ, ねごと, おんがえし, やつあたり, おいうち, あまいかおり, めざめるパワー, にほんばれ, いわくだき, からげんき, かわらわり, はたきおとす, がむしゃら, ひみつのちから, エアカッター, ぎんいろのかぜ, つばめがえし, はねやすめ, しぜんのめぐみ, おいかぜ, とんぼがえり, しっぺがえし, ダメおし, どくびし, どくづき, シザークロス, ギガインパクト, きりばらい, ゆうわく, むしくい, あやしいかぜ, ベノムショック, りんしょう, アクロバット, むしのていこう, エレキネット, ドリルライナー, とどめばり, ないしょばなし, まとわりつく, とぎすます, じごくづき, ぶんまわす",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png
16,pidgey,"ノーマル, ひこう","するどいめ, ちどりあし, はとむね",18,40,45,40,35,35,56,"かまいたち, かぜおこし, つばさでうつ, ふきとばし, そらをとぶ, すなかけ, ずつき, たいあたり, とっしん, すてみタックル, どくどく, こうそくいどう, でんこうせっか, いかり, ものまね, かげぶんしん, リフレクター, がまん, オウムがえし, スピードスター, ゴッドバード, ねむる, みがわり, どろぼう, いびき, のろい, まもる, だましうち, どろかけ, みやぶる, みきり, こらえる, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, おいうち, めざめるパワー, たつまき, あまごい, にほんばれ, さわぐ, ねっぷう, からげんき, ひみつのちから, フェザーダンス, エアカッター, つばめがえし, はねやすめ, しぜんのめぐみ, ついばむ, おいかぜ, とんぼがえり, エアスラッシュ, ブレイブバード, きりばらい, ゆうわく, あやしいかぜ, りんしょう, ふるいたてる, ぼうふう, ないしょばなし",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png
17,pidgeotto,"ノーマル, ひこう","するどいめ, ちどりあし, はとむね",300,63,60,55,50,50,71,"かまいたち, かぜおこし, つばさでうつ, ふきとばし, そらをとぶ, すなかけ, ずつき, たいあたり, とっしん, すてみタックル, どくどく, こうそくいどう, でんこうせっか, いかり, ものまね, かげぶんしん, リフレクター, がまん, オウムがえし, スピードスター, ゴッドバード, ねむる, みがわり, どろぼう, いびき, のろい, まもる, どろかけ, みきり, こらえる, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, めざめるパワー, たつまき, あまごい, にほんばれ, さわぐ, ねっぷう, からげんき, ひみつのちから, フェザーダンス, エアカッター, つばめがえし, はねやすめ, しぜんのめぐみ, ついばむ, おいかぜ, とんぼがえり, エアスラッシュ, きりばらい, ゆうわく, あやしいかぜ, りんしょう, ふるいたてる, ぼうふう, ないしょばなし",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png
18,pidgeot,"ノーマル, ひこう","するどいめ, ちどりあし, はとむね",395,83,80,75,70,70,101,"かまいたち, かぜおこし, つばさでうつ, ふきとばし, そらをとぶ, すなかけ, ずつき, たいあたり, とっしん, すてみタックル, はかいこうせん, どくどく, こうそくいどう, でんこうせっか, いかり, ものまね, かげぶんしん, リフレクター, がまん, オウムがえし, スピードスター, ゴッドバード, ねむる, みがわり, どろぼう, いびき, のろい, まもる, どろかけ, みきり, こらえる, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, めざめるパワー, たつまき, あまごい, にほんばれ, さわぐ, ねっぷう, からげんき, ひみつのちから, フェザーダンス, エアカッター, つばめがえし, はねやすめ, しぜんのめぐみ, ついばむ, おいかぜ, とんぼがえり, エアスラッシュ, ギガインパクト, きりばらい, ゆうわく, あやしいかぜ, りんしょう, ふるいたてる, ぼうふう, ないしょばなし, とぎすます",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png
19,rattata,ノーマル,"にげあし, こんじょう, はりきり",35,30,56,35,25,35,72,"いあいぎり, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, しっぽをふる, かみつく, みずでっぽう, れいとうビーム, ふぶき, バブルこうせん, カウンター, １０まんボルト, でんじは, かみなり, あなをほる, どくどく, でんこうせっか, いかり, ものまね, いやなおと, かげぶんしん, まるくなる, きあいだめ, がまん, スピードスター, ロケットずつき, みだれひっかき, ねむる, ひっさつまえば, いかりのまえば, みがわり, どろぼう, かえんぐるま, いびき, のろい, きしかいせい, まもる, ヘドロばくだん, どろかけ, こごえるかぜ, こらえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, おいうち, アイアンテール, めざめるパワー, あまごい, にほんばれ, かみくだく, シャドーボール, いわくだき, さわぐ, からげんき, ちょうはつ, リベンジ, がむしゃら, ひみつのちから, ほしがる, でんげきは, しぜんのめぐみ, ついばむ, とんぼがえり, ダメおし, さきどり, とっておき, ふいうち, しねんのずつき, ゆうわく, くさむすび, チャージビーム, りんしょう, かたきうち, いのちがけ, ふるいたてる, ワイルドボルト, ないしょばなし, とぎすます",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png
20,raticate,ノーマル,"にげあし, こんじょう, はりきり",185,55,81,60,50,70,97,"つるぎのまい, いあいぎり, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, しっぽをふる, かみつく, ほえる, みずでっぽう, れいとうビーム, ふぶき, バブルこうせん, はかいこうせん, カウンター, かいりき, １０まんボルト, でんじは, かみなり, あなをほる, どくどく, でんこうせっか, いかり, ものまね, かげぶんしん, まるくなる, きあいだめ, がまん, スピードスター, ロケットずつき, みだれひっかき, ねむる, ひっさつまえば, いかりのまえば, みがわり, どろぼう, いびき, のろい, まもる, こわいかお, ヘドロばくだん, どろかけ, こごえるかぜ, こらえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, おいうち, アイアンテール, めざめるパワー, あまごい, にほんばれ, かみくだく, シャドーボール, いわくだき, さわぐ, からげんき, ちょうはつ, がむしゃら, ひみつのちから, ほしがる, でんげきは, しぜんのめぐみ, ついばむ, とんぼがえり, ダメおし, とっておき, ふいうち, ギガインパクト, しねんのずつき, ゆうわく, くさむすび, チャージビーム, りんしょう, かたきうち, ふるいたてる, ワイルドボルト, ないしょばなし, とぎすます, じごくづき, じだんだ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png
21,spearow,"ノーマル, ひこう","するどいめ, スナイパー",20,40,60,30,31,31,70,"かまいたち, つばさでうつ, ふきとばし, そらをとぶ, ずつき, みだれづき, とっしん, すてみタックル, にらみつける, なきごえ, つつく, ドリルくちばし, どくどく, こうそくいどう, でんこうせっか, いかり, ものまね, かげぶんしん, きあいだめ, がまん, オウムがえし, スピードスター, ゴッドバード, ねむる, トライアタック, みがわり, どろぼう, いびき, のろい, まもる, こわいかお, だましうち, どろかけ, みきり, こらえる, みねうち, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, おいうち, めざめるパワー, たつまき, あまごい, にほんばれ, さわぐ, ねっぷう, からげんき, ひみつのちから, フェザーダンス, おどろかす, エアカッター, つばめがえし, はねやすめ, しぜんのめぐみ, ついばむ, おいかぜ, とんぼがえり, ダメおし, きりばらい, ゆうわく, あやしいかぜ, りんしょう, エコーボイス, ふるいたてる, ドリルライナー, ないしょばなし",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png
22,fearow,"ノーマル, ひこう","するどいめ, スナイパー",380,65,90,65,61,61,100,"かまいたち, つばさでうつ, ふきとばし, そらをとぶ, ずつき, みだれづき, とっしん, すてみタックル, にらみつける, なきごえ, はかいこうせん, つつく, ドリルくちばし, どくどく, こうそくいどう, でんこうせっか, いかり, ものまね, かげぶんしん, きあいだめ, がまん, オウムがえし, スピードスター, ゴッドバード, ねむる, トライアタック, みがわり, どろぼう, いびき, のろい, まもる, どろかけ, みきり, こらえる, みねうち, いばる, はがねのつばさ, メロメロ, ねごと, おんがえし, やつあたり, おいうち, めざめるパワー, たつまき, あまごい, にほんばれ, さわぐ, ねっぷう, からげんき, ひみつのちから, エアカッター, つばめがえし, はねやすめ, しぜんのめぐみ, ついばむ, おいかぜ, とんぼがえり, ダメおし, ギガインパクト, きりばらい, ゆうわく, あやしいかぜ, りんしょう, エコーボイス, ふるいたてる, ドリルライナー, ないしょばなし, とぎすます, じごくづき",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png
23,ekans,どく,"いかく, だっぴ, きんちょうかん",69,35,60,44,40,54,55,"しめつける, たたきつける, ずつき, のしかかり, まきつく, とっしん, すてみタックル, どくばり, にらみつける, かみつく, かなしばり, ようかいえき, かいりき, メガドレイン, じしん, じわれ, あなをほる, どくどく, いかり, ものまね, いやなおと, かげぶんしん, くろいきり, がまん, ロケットずつき, へびにらみ, きゅうけつ, ねむる, いわなだれ, みがわり, どろぼう, いびき, のろい, うらみ, まもる, こわいかお, ヘドロばくだん, どろかけ, ギガドレイン, こらえる, いばる, メロメロ, ねごと, おんがえし, やつあたり, おいうち, アイアンテール, めざめるパワー, あまごい, にほんばれ, かみくだく, ふくろだたき, たくわえる, はきだす, のみこむ, いちゃもん, からげんき, はたきおとす, よこどり, ひみつのちから, どくどくのキバ, がんせきふうじ, マッドショット, ポイズンテール, しぜんのめぐみ, しっぺがえし, いえき, ふいうち, どくびし, どくづき, あくのはどう, アクアテール, タネばくだん, すりかえ, ほのおのキバ, どろばくだん, ダストシュート, ゆうわく, ベノムショック, ヘドロウェーブ, とぐろをまく, アシッドボム, りんしょう, じならし, バークアウト, ゲップ, ないしょばなし, まとわりつく, ぶんまわす, サイコファング, スケイルショット, はいよるいちげき, うっぷんばらし, テラバースト, くさわけ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png
